,Unnamed: 0,ShoeName,Category,no_of_colors,Price
0,0,Ultraboost 1.0 Shoes,Men,41 ,190
1,1,Ultraboost 1.0 Shoes,Men,41 ,190
2,2,Ultraboost 1.0 ATR Shoes,Men,17 ,200
3,3,X_PLRBOOST Shoes,Men,17 ,160
4,4,X_PLRBOOST Shoes,Men,17 ,160
5,5,X_PLRBOOST Shoes,Men,17 ,160
6,6,Ultraboost 1.0 Shoes,Men,41 ,190
7,7,Ultraboost 1.0 Shoes,Men,41 ,190
8,8,Ultraboost 1.0 Shoes,Men,41 ,190
9,9,TERREX Free Hiker 2.0 Hiking Shoes,Men,3 ,200
10,10,NMD_R1 Shoes,Men,9 ,160
11,11,X_PLRBOOST Shoes,Men,17 ,140
12,12,Pureboost 23 Running Shoes,Men,8 ,140
13,13,Pureboost 23 Running Shoes,Men,8 ,260
14,14,TERREX FREE HIKER 2 C.RDY,Men,2 ,190
15,15,Ultraboost 1.0 Shoes,Men,41 ,140
16,16,Avryn Shoes,Men,5 ,190
17,17,Ultraboost 1.0 Shoes,Men,41 ,135
18,18,Superstar Parley Shoes,Men,2 ,150
19,19,Pureboost 23 Running Shoes,Men,8 ,140
20,20,NMD_R1 Shoes,Men,9 ,130
21,21,Ultraboost 1.0 Shoes,Men,41 ,190
22,22,Ultraboost 1.0 Shoes,Men,41 ,190
23,23,NMD_G1 Shoes,Men,2 ,140
24,24,Ultraboost 1.0 Shoes,Men,41 ,190
25,25,Ultraboost Light Running Shoes New York Together,Men,5 ,190
26,26,TERREX Free Hiker GORE-TEX 2.0 Hiking Shoes,Men,6 ,230
27,27,Ultraboost Light Running Shoes,Men,7 ,190
28,28,NMD_G1 Boost Shoes,Men,1 color,150
29,29,NMD_S1 Shoes,Men,3 ,180
30,30,AE 1 With Love Basketball Shoes,Men,1 color,190
31,31,Ultraboost 1.0 Shoes,Men,41 ,120
32,32,NMD_R1 V3 Shoes,Men,2 ,190
33,33,ULTRABOOST LIGHT C.RDY,Men,2 ,200
34,34,X_PLRBOOST Shoes,Men,17 ,160
35,35,Alphaboost V1 Shoes,Men,3 ,120
36,36,NMD S1 MAHBS Shoes,Men,3 ,230
37,37,Trae Young 3 Shoes,Men,3 ,140
38,38,Ultraboost Light Running Shoes,Men,5 ,170
39,39,Terrex Free Hiker 2.0 Low GORE-TEX Hiking Shoes,Men,2 ,160
40,40,Ultraboost 1.0 Shoes,Men,41 ,180
41,41,ULTRABOOST LIGHT,Men,7 ,190
42,42,Avryn Shoes,Men,5 ,190
43,43,X_PLRBOOST Shoes,Men,17 ,140
44,44,NMD_R1 Shoes,Men,9 ,150
45,45,NMD_R1 Shoes,Men,9 ,150
46,46,TERREX Free Hiker GORE-TEX 2.0 Hiking Shoes,Men,6 ,230
47,47,NMD_R1 Shoes,Men,9 ,150
48,48,NMD_R1 Shoes,Men,6 ,150
