,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
0,16,Earth Strata S23 , Bright Blue , Cloud White , Cloud White , Cloud White , ID9677
1,14,Silver Green S23 , Bright Blue , Cloud White , Cloud White , Cloud White , IF5258
2,24,Core Black , Cloud White , Core Black , Off White , Cloud White , ID1747
3,16,Cloud White , Cloud White , Core Black , Chalk White , Grey Three , HP3130
4,21,Core Black , Cloud White , Core Black , Chalk White , Grey Three , IF2921
5,21,Core Black , Cloud White , Core Black , Chalk White , Grey Three , IF4921
6,26,Core Black , Bright Blue , Cloud White , Cloud White , Cloud White , ID9436
7,16,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , IG2372
8,16,Grey Three , Bright Blue , Cloud White , Cloud White , Cloud White , GZ9261
9,21,Core Black , Core Black , Linen Green F22 , Wonder Steel F22 , Core Black , IF3501
10,16,Cloud White , Cloud White , Core Black , Chalk White , Grey Three , ID1746
11,21,Olive Strata , Cloud White , Core Black , Core Black , Cloud White , IF3457
12,16,Core Black , Cloud White , Core Black , Core Black , Cloud White , ID9674
13,24,Core Black , Core Black ,,,, IF3465
14,26,Grey One , Bright Blue , Cloud White , Cloud White , Cloud White , ID9666
15,12,Core Black , Core Black , Core Black , Core Black , Shadow Navy , HP3147
16,24,Core Black , Bright Blue , Cloud White , Cloud White , Cloud White , HP2759
17,17,Shadow Red , Shadow Red ,,,, IF5603
18,17,Cloud White , Core Black , Grey Three , Core Black , Feather Grey , GY7356
19,17,Cloud White , Cloud White , Core Black , Core Black , Cloud White , HP3132
20,16,Crystal White , Grey Four , Core Black , Grey Three , Core Black , IG5461
21,16,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , GZ9256
22,16,Core Black , Bright Blue , Cloud White , Cloud White , Cloud White , GZ9257
23,21,Crystal White , Crystal White ,,,, GZ9260
24,16,Carbon , Bright Blue , Cloud White , Cloud White , Cloud White , ID9438
25,21,Pink Strata S23 , Solar Red , Wonder Red , Solar Red , Carbon , IG5876
26,21,Core Black , Wonder Steel F22 , Wonder Steel F22 , Core Black , Wonder Taupe , IF5282
27,21,Better Scarlet S23 , Core Black , Core Black , Non Dyed , Better Scarlet S23 , GW9089
