,Unnamed: 0,reviews,Size,comfort,quality,star_rating
0,0,2035,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",87.45,90.21,4.7
1,1,2035," 5 3.5, 5.5 4, 6 4.5, 6.5 5, 7 5.5, 7.5 6, 8 6.5, 8.5 7, 9 7.5, 9.5 8, 10 8.5, 10.5 9, 11 9.5, 11.5 10, 12 10.5",87.45,90.21,4.7
2,2,285,", 3.5  5,, 4  5.5,, 4.5  6,, 5  6.5,, 5.5  7,, 6  7.5,, 6.5  8,, 7  8.5,, 7.5  9,, 8  9.5,, 8.5  10,, 9  10.5,, 9.5  11,, 10  11.5,, 10.5  12,, 11  12.5,, 11.5  13,, 12  13.5,, 12.5  14,, 13  14.5,, 14  15.5,, 15  16.5,, 16  17.5,, 17  18.5,, 18  19.5",90.88,93.68,4.8
3,3,256,", 6  7.5,, 6.5  8,, 7  8.5,, 7.5  9,, 8  9.5,, 8.5  10,, 9  10.5,, 9.5  11,, 10  11.5,, 10.5  12,, 11  12.5,, 11.5  13,, 12  13.5,, 12.5  14,, 13  14.5,, 14  15.5,, 15  16.5",87.01,88.96,4.7
4,4,256,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",87.01,88.96,4.7
5,5,256,", 3.5  5,, 4  5.5,, 4.5  6,, 5  6.5,, 5.5  7,, 6  7.5,, 6.5  8,, 7  8.5,, 7.5  9,, 8  9.5,, 8.5  10,, 9  10.5,, 9.5  11,, 10  11.5,, 10.5  12,, 11  12.5,, 11.5  13,, 12  13.5,, 12.5  14,, 13  14.5,, 14  15.5,, 15  16.5",87.01,88.96,4.7
6,6,2035," 5 3.5, 5.5 4, 6 4.5, 6.5 5, 7 5.5, 7.5 6, 8 6.5, 8.5 7, 9 7.5, 9.5 8, 10 8.5, 10.5 9, 11 9.5, 11.5 10, 12 10.5, 12.5 11, 13 11.5, 13.5 12, 14 12.5, 14.5 13, 15 13.5, 15.5 14, 16 14.5, 16.5 15, 17.5 16, 18.5 17, 19.5 18",87.45,90.21,4.7
7,7,2035,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",87.45,90.21,4.7
8,8,2035,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",87.45,90.21,4.7
9,9,255,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",86.67,88.33,4.6
