,Unnamed: 0,ShoeName,Category,no_of_colors,Price
0,0,Columbia Men Black EXPEDITIONIST BOOT Water Resistant Shoes,Men,1 ,191.99
1,1,Columbia Men Black WOODBURN II CHUKKA OMNI-HEAT Water Resistant Shoes,Men,1 ,119.99
2,2,Columbia Men Black STRATA TRAIL MID WP,Men,1 ,95.99
3,3,Columbia Men Green EXPEDITIONIST SHIELD Water Resistant Shoes,Men,1 ,179.99
4,4,Columbia Men Grey CRESTWOOD MID Water Resistant Shoes,Men,5 ,119.99
5,5,Columbia Men Brown Crestwood Water Resistant Shoes,Men,3 ,107.99
6,6,Columbia Men Grey FACET 60 OUTDRY (Complete Waterproof),Men,3 ,191.99
7,7,Columbia Men Black HATANA MAX OUTDRY (Complete Waterproof),Men,3 ,131.99
8,8,Columbia Men Blue PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,3 ,131.99
9,9,Columbia Men Brown RE-PEAK MID,Men,2 ,119.99
10,10,Columbia Men Green TRAILSTORM Water Resistant Shoes,Men,4 ,107.99
11,11,Columbia Men Black TRAILSTORM Water Resistant Shoes,Men,4 ,107.99
12,12,Columbia Men Brown Plateau Venture,Men,2 ,95.99
13,13,Columbia Men Brown CRESTWOOD Water Resistant Shoes,Men,3 ,97.19
14,14,Columbia Men Black TRAILSTORM PEAK MID,Men,2 ,124.79
15,15,Columbia Men Black TRAILSTORM BEYOND,Men,1 ,75.59
16,16,Columbia Men Black COLUMBIA VENT AERO,Men,2 ,97.19
17,17,Columbia Men Blue COLUMBIA VENT AERO,Men,2 ,86.39
18,18,Columbia Men Orange MONTRAIL TRINITY AG,Men,1 ,124.79
19,19,Columbia Men BROWN Plateau Venture,Men,2 ,95.99
20,20,Columbia Men Grey Crestwood Water Resistant Shoes,Men,3 ,107.99
21,21,Columbia Men Blue Hood River Slide,Men,2 ,41.99
22,22,Columbia Men GREEN Breaksider Sandal,Men,2 ,71.99
23,23,Columbia Men GREEN HATANA MAX OUTDRY,Men,3 ,131.99
24,24,Columbia Men Brown Peakfreak II Outdry (Complete Waterproof),Men,1 ,131.99
25,25,Columbia Men BLACK ESCAPE THRIVE ULTRA,Men,1 ,155.99
26,26,Columbia Men Brown TRAILSTORM HIKER 3 STRAP,Men,1 ,83.99
27,27,Columbia Men Green FIRECAMP REMESH,Men,1 ,83.99
28,28,Columbia Men GREEN Columbia 2 Strap,Men,1 ,71.99
29,29,Columbia Men GREEN Hatana Breathe,Men,1 ,119.99
30,30,Columbia Men BROWN Columbia 2 Strap,Men,1 ,71.99
31,31,Columbia Men Grey RE-PEAK MID,Men,1 ,119.99
32,32,Columbia Men BLACK Breaksider Sandal,Men,1 ,71.99
33,33,Columbia Men Blue FIRECAMP REMESH,Men,1 ,83.99
34,34,Columbia Men BROWN Hatana Breathe,Men,1 ,119.99
35,35,Columbia Men BLACK Hood River Slide,Men,1 ,41.99
36,36,Columbia Men Black FACET 60 OUTDRY (Complete Waterproof),Men,1 ,191.99
37,37,Columbia Men BROWN Thrive Revive,Men,3 ,77.99
38,38,Columbia Men Black TRAILSTORM MID Water Resistant Shoes,Men,3 ,119.99
39,39,Columbia Men Grey TRAILSTORM Water Resistant Shoes,Men,4 ,107.99
40,40,Columbia Men Blue TRAILSTORM Water Resistant Shoes,Men,4 ,107.99
41,41,Columbia Men Blue PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,3 ,131.99
42,42,Columbia Men Grey PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,3 ,131.99
43,43,Columbia Men Black HOOD RIVER FLIP,Men,3 ,35.99
44,44,Columbia Men Grey REDMOND V2 MID Water Resistant Shoes,Men,1 ,107.99
45,45,Columbia Men BLUE Montrail Trinity Fkt,Men,1 ,167.99
46,46,Columbia Men BLACK Thrive Revive,Men,1 ,77.99
47,47,Columbia Men Brown REDMOND V2 MID Water Resistant Shoes,Men,3 ,107.99
48,48,Columbia Men Brown REDMOND V2 Water Resistant Shoes,Men,1 ,95.99
49,49,Columbia Men Orange FACET 60 OUTDRY (Complete Waterproof),Men,1 ,191.99
50,50,Columbia Men GREEN Thrive Revive,Men,3 ,77.99
51,51,Columbia Men Blue TRAILSTORM MID Water Resistant Shoes,Men,3 ,119.99
52,52,Columbia Men Grey CRESTWOOD Water Resistant Shoes,Men,3 ,107.99
53,53,Columbia Men Black Facet 75 Mid Outdry (Complete Waterproof),Men,1 ,203.99
54,54,Columbia Men Brown REDMOND V2 Water Resistant Shoes,Men,1 ,95.99
55,55,Columbia Men BLACK Montrail Trinity Fkt,Men,1 ,167.99
56,56,Columbia Men Green FACET 75 OUTDRY (Complete Waterproof),Men,1 ,191.99
57,57,Columbia Men Grey Facet 75 Outdry (Complete Waterproof),Men,1 ,191.99
58,58,Columbia Men Green Facet 75 Mid Outdry (Complete Waterproof),Men,1 ,203.99
59,59,Columbia Men Grey Plateau Water Resistant Shoes,Men,1 ,107.99
60,60,Columbia Men Brown CRESTWOOD MID Water Resistant Shoes,Men,5 ,119.99
61,61,Columbia Men Brown TRAILSTORM PEAK MID,Men,1 ,124.79
62,62,Columbia Men Black PEAKFREAK II OUTDRY (Complete Waterproof),Men,1 ,131.99
63,63,Columbia Men Black HATANA MAX OUTDRY (Complete Waterproof),Men,3 ,131.99
64,64,Columbia Men Blue FAIRBANKS OMNI-HEAT,Men,2 ,131.99
65,65,Columbia Men Black ESCAPE THRIVE ENDURE (Complete Waterproof),Men,1 ,155.99
66,66,Columbia Men Black FACET 45 OUTDRY (Complete Waterproof),Men,1 ,203.99
67,67,Columbia Men Green Crestwood Mid Water Resistant Shoes,Men,5 ,119.99
68,68,Columbia Men Blue Crestwood Mid Water Resistant Shoes,Men,5 ,119.99
69,69,Columbia Men Blue FIRECAMP BOOT Water Resistant Shoes,Men,1 ,119.99
70,70,Columbia Men Grey TRAILSTORM MID WATERPROOF,Men,3 ,119.99
71,71,Columbia Men Black FAIRBANKS OMNI-HEAT,Men,2 ,131.99
72,72,Columbia Men Green EXPEDITIONIST PROTECT OMNI-HEAT Water Resistant Shoes,Men,1 ,155.99
73,73,Columbia Women Black MINX SLIP IV Water Resistant Shoes,Women,1 ,131.99
74,74,Columbia Women White MINX SLIP IV Water Resistant Shoes,Women,1 ,131.99
75,75,Columbia Women White TRAILSTORM Water Resistant Shoes,Women,3 ,107.99
76,76,Columbia Women Black FACET 75 OUTDRY (Complete Waterproof),Women,1 ,179.99
77,77,Columbia Women Black TRAILSTORM MID OMNI HEAT Water Resistant Shoes,Women,1 ,155.99
78,78,Columbia Women Red PEAKFREAK X2 OUTDRY (Complete Waterproof),Women,1 ,119.99
79,79,Columbia Women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),Women,3 ,125.99
80,80,Columbia Women Grey TRAILSTORM PEAK MID,Women,1 ,124.79
81,81,Columbia Women Black TRAILSTORM PEAK MID,Women,1 ,124.79
82,82,Columbia Women Grey TRAILSTORM Water Resistant Shoes,Women,3 ,107.99
83,83,Columbia Women Black SH/FT OUTDRY MID (Complete Waterproof),Women,1 ,117.59
84,84,Columbia Women Blue TRAILSTORM BEYOND,Women,1 ,67.19
85,85,Columbia Women Green COLUMBIA VENT AERO,Women,1 ,75.59
86,86,Columbia Women Black COLUMBIA VENT AERO,Women,1 ,75.59
87,87,Columbia Women PURPLE Thrive Revive,Women,1 ,71.99
88,88,Columbia Women Black Hatana Max Outdry (Complete Waterproof),Women,4 ,131.99
89,89,Columbia Women Black Peakfreak II Outdry (Complete Waterproof),Women,4 ,119.99
90,90,Columbia Women GREY Hatana Breathe,Women,1 ,119.99
91,91,Columbia Women BROWN Plateau Venture,Women,1 ,95.99
92,92,Columbia Women Brown Hatana Max Outdry (Complete Waterproof),Women,4 ,131.99
93,93,Columbia Women GREY Hatana Breathe,Women,1 ,119.99
94,94,Columbia Women Purple RE-PEAK MID,Women,1 ,119.99
95,95,Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),Women,4 ,131.99
96,96,Columbia Women Blue Peakfreak II Outdry (Complete Waterproof),Women,4 ,119.99
97,97,Columbia Women Grey PEAKFREAK II OUTDRY (Complete Waterproof),Women,4 ,119.99
