,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
0,6,"Black, Graphite",,,,, BM8525-010
1,7,,,,,, BM3926-010
2,11,"Black, Owl",,,,, YM8651-010
3,9,,,,,, BM9083-373
4,5,"Light Cloud, Sea Salt","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black", BM5371-020
5,9,"Mud, Squash","Graphite, Dark Adobe","Mud, Squash",,, BM5372-255
6,8,"Dark Grey, Silver Grey","Dark Grey, Silver Grey","Warm Copper, Black",,, BM3530-089
7,8,"Black, Compass Blue","Deep Water, Spark","Black, White",,, BM0659-013
8,8,"Abyss, Fission","Graphite, Dark Adobe","Abyss, Fission",,, BM0829-439
9,6,"Canvas Tan, Black","Canvas Tan, Black",,,, BM6940-247
10,6,"Dark Moss, Mango","Dark Grey, Bright Gold","Dark Moss, Mango","Dark Mountain, Steam",, BM0156-367
11,13,"Black, Solar","Dark Grey, Bright Gold","Dark Moss, Mango","Dark Mountain, Steam",, BM0156-010
12,8,"Peatmoss, Black","Peatmoss, Black",,,, BM7536-213
13,6,"Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",,, BM5372-241
14,6,"Kettle, Black","Cordovan, Black",,,, BM5578-005
15,5,,,,,, BM0354-010
16,6,"Black, Graphite","Collegiate Navy, Red Quartz",,,, BM0159-010
17,5,"Collegiate Navy, Red Quartz","Collegiate Navy, Red Quartz",,,, BM0159-468
18,5,,,,,, BM8310-813
19,8,"Mud, Abyss","Peatmoss, Black",,,, BM7536-255
20,9,"Graphite, Dark Adobe","Graphite, Dark Adobe","Mud, Squash",,, BM5372-053
21,5,"Mountain, Admiral","Mountain, Admiral",,,, BM0166-441
22,7,"Mosstone, Golden Yellow","Mosstone, Golden Yellow",,,, BM0486-302
23,11,"Deep Water, Spark","Deep Water, Spark","Black, White",,, BM0659-317
24,9,"Canvas Tan, Black","Canvas Tan, Black",,,, BM5953-247
25,7,,,,,, BM7874-012
26,7,"Cordovan, Gold Amber","Cordovan, Gold Amber",,,, BM8210-231
27,9,"Stone Green, Black","Collegiate Navy, Tippet",,,, BM1905-399
28,7,"Gravel, Black","Gravel, Black",,,, BM0111-339
29,8,"Nori, Gold Amber","Nori, Gold Amber",,,, BM7444-383
30,8,"Cordovan, Curry","Gravel, Black",,,, BM0111-231
31,5,"DARK GREY, BLACK","Canvas Tan, Black",,,, BM6940-089
32,6,"Black, Graphite","Mosstone, Golden Yellow",,,, BM0486-010
33,8,"Collegiate Navy, Tippet","Collegiate Navy, Tippet",,,, BM1905-468
