,Unnamed: 0,reviews,Size,comfort,quality,star_rating
0,0,30,"7,  8,2 ,9,  10,  11, ",,,4
1,1,0,"6,  7,  8,  9,  10,2 ,11, ",,,0
2,2,0,"7,2 ,8,2 ,9,  10,  11,  12,4 ,13,  14, ",,,0
3,3,0,"6,2 ,7,2 ,8,  9,  10,3 ,11, ",,,0
4,4,60,"7,  8,  9,  10,  11, ",,,4
5,5,47,"6,  7,  8,  9,4 ,10,1 ,11,  12, ",,,4
6,6,12,"7,  8,3 ,9,2 ,10,1 ,11, ",,,5
7,7,1,"7,  8,1 ,9,1 ,10,1 ,11, ",,,5
8,8,0,"6,  7,3 ,8,  9,2 ,10,  11, ",,,0
9,9,0,"7,  8,  9,  10,3 ,11,4 ",,,0
10,10,34,"7,  8,3 ,9,  10,  11, ",,,4
11,11,42,"6.5,  7,2 ,7.5,  8,  8.5,  9,1 ,9.5,4 ,10,2 ,11, ",,,4
12,12,0,"6,  7,4 ,8,  9,  10,  11,  12,1 ",,,0
13,13,91,"7,1 ,8,  9,  10,  11, ",,,4
14,14,32,"7,  8,  9,  10,2 ,11, ",,,5
15,15,0,"7,  8,  9,  10,  11,1 ",,,0
16,16,30,"7,  8,  9,1 ,10,  11, ",,,4
17,17,36,"7,  8,  9,  10,  11, ",,,4
18,18,17,"7,  8,  9,  10,  11, ",,,5
19,19,0,"6,  7,  8,  9,  10,  11,2 ,12,2 ",,,0
20,20,30,"6,  7,  8,3 ,9,  10,  11,1 ,12, ",,,4
21,21,38,"7,  8,  9,  10,  11, ",,,4
22,22,0,"7,4 ,8,  9,  10,4 ,11, ",,,0
23,23,0,"6,  7,1 ,8,2 ,9,  10,2 ,11,2 ,12,1 ",,,0
24,24,21,"6,  7,1 ,8,  9,  10,1 ,11,  12, ",,,5
25,25,36,"7,  8,2 ,9,  10,1 ,11, ",,,4
26,26,4,"7,1 ,8,  9,  10,1 ,11, ",,,5
27,27,0,"7,1 ,8,1 ,9,2 ,10,2 ,11, ",,,0
28,28,46,"7,1 ,8,  9,  10,1 ,11, ",,,4
29,29,0,"6,1 ,7,1 ,8,  9,  10,  11,2 ",,,0
30,30,37,"7,1 ,8,  9,1 ,10,4 ,11, ",,,4
31,31,0,"7,  8,  9,  10,  11, ",,,0
32,32,0,"7,2 ,8,  9,  10,  11, ",,,0
33,33,0,"7,  8,3 ,9,2 ,10,2 ,11,2 ",,,0
34,34,0,"6,  7,1 ,8,  9,4 ,10,  11, ",,,0
35,35,36,"7,  8,2 ,9,  10,1 ,11, ",,,4
36,36,12,"7,2 ,8,  9,1 ,10,  11,  13,  14, ",,,5
37,37,26,"7,  8,  9,  10,3 ,11, ",,,5
38,38,69,"7,3 ,8,2 ,9,  10,2 ,11, ",,,4
39,39,34,"7,2 ,8,1 ,9,1 ,10,  11, ",,,4
40,40,34,"7,2 ,8,2 ,9,  10,1 ,11, ",,,4
41,41,0,"6.5,  7,  8,  8.5,  9,  9.5,1 ,10,  11, ",,,0
42,42,0,"6,  7,  8,  9,  10,2 ,11, ",,,0
43,43,0,"7,  8,1 ,9,  10,  11, ",,,0
44,44,44,"7,  8,  9,1 ,10,  11, ",,,4
45,45,5,"7,  8,3 ,9,  10,  11, ",,,5
46,46,26,"7,  8,2 ,9,4 ,10,  11, ",,,5
47,47,35,"7,2 ,8,1 ,9,  10,  11, ",,,4
48,48,0,"6,1 ,6.5,  8,  8.5,  9,4 ,10,  11, ",,,0
49,49,19,"7,  8,  9,3 ,10,  11, ",,,5
50,50,24,"7,  8,  9,  10,  11, ",,,5
51,51,59,"7,  8,4 ,9,  10,  11, ",,,4
52,52,0,"6,  6.5,  7,  7.5,  8,1 ,8.5,  9,  9.5,  10,  11, ",,,0
53,53,0,"7,  8,  9,2 ,10,  11, ",,,0
54,54,0,"6,  7,2 ,8,  9,3 ,10,  11, ",,,0
55,55,5,"7,  8,4 ,9,  10,  11, ",,,5
56,56,0,"7,  8,  9,2 ,10,  11, ",,,0
57,57,0,"7,1 ,8,  9,  10,  11, ",,,0
58,58,0,"6,  7,  8,1 ,9,2 ,10,  11, ",,,0
59,59,0,"6,  7,  8,  9,2 ,10,  11, ",,,0
60,60,58,"7,  8,  9,  10,  11, ",,,4
61,61,31,"6,  7,  8,1 ,9,  10,2 ,11, ",,,5
62,62,31,"6,  7,4 ,8,1 ,9,  10,  11, ",,,5
63,63,0,"7,  8,1 ,9,4 ,10,  11, ",,,0
64,64,0,"6,  7,  8,  9,1 ,10,  11, ",,,0
65,65,24,"6,  7,  8,1 ,9,  10,  11, ",,,4
66,66,10,"7,  8,1 ,9,  10,  11, ",,,5
67,67,30,"6,  7,  8,3 ,9,  10,  11,  12, ",,,4
68,68,30,"6,  7,3 ,8,  9,  10,  11,  12, ",,,4
69,69,0,"7,  8,  9,  10,4 ,11, ",,,0
70,70,59,"7,  8,1 ,9,  10,  11, ",,,4
71,71,0,"6,  7,  8,  9,  10,  11, ",,,0
72,72,0,"6,  7,  8,  9,  10,  11, ",,,0
73,73,0,"4,3 ,5,3 ,6,  7,2 ,8, ",,,0
74,74,0,"4,  5,  6,  7,  8,2 ",,,0
75,75,1,"4,1 ,5,  6,  7,  8, ",,,5
76,76,0,"4,  5,1 ,6,  7,  8, ",,,0
77,77,44,"4,  5,  6,  7,  8, ",,,4
78,78,0,"4,  5,  6,  7,2 ,8, ",,,0
79,79,22,"4,2 ,5,  6,  7,  8, ",,,5
80,80,0,"4,  5,  6,  7,  8,4 ",,,0
81,81,0,"4,  5,  6,  7,  8, ",,,0
82,82,0,"4,2 ,5,  6,  7,4 ,8, ",,,0
83,83,0,"5,  6,  7,  8, ",,,0
84,84,0,"4,3 ,5,  6,  7,  8, ",,,0
85,85,41,"4,  5,  6,  7,  8, ",,,4
86,86,41,"4,  5,  6,  7,  8,4 ",,,4
