,Unnamed: 0,ShoeName,Category,no_of_colors,Price
0,0,"Suede Classic XXI Sneakers
Puma Black-Puma White",Men,10 ,75.00
1,1,"PUMA x LAMELO BALL MB.03 Toxic Men's Basketball Shoes
Purple Glimmer-Green Gecko",Men,1 ,125.00
2,2,"PUMA HOOPS x GREMLINS All Pro NITRO™ Men's Basketball Shoes
PUMA White",Men,1 ,140.00
3,3,"Suede Classic XXI Sneakers
Puma Black-Puma Black",Men,10 ,75.00
4,4,"Suede Classic XXI Sneakers
Peacoat-Puma White",Men,10 ,75.00
5,5,"Suede Classic XXI Sneakers
Steel Gray-Puma White",Men,10 ,75.00
6,6,"Suede Classic XXI Sneakers
High Risk Red-Puma White",Men,10 ,75.00
7,7,"Suede Classic XXI Sneakers
Cabernet-Puma White",Men,10 ,75.00
8,8,"PUMA x LAMELO BALL MB.03 Chino Hills Men's Basketball Shoes
Feather Gray-Lime Smash",Men,1 ,125.00
9,9,"Suede Classic XXI Sneakers
Honey Mustard-Puma White",Men,10 ,75.00
10,10,"PUMA-180 Corduroy Men's Sneakers
Warm White-Warm White",Men,1 ,100.00
11,11,"PUMA x LAMELO BALL MB.01 Golden Child Men's Basketball Shoes
Metallic Gold-Fiery Coral",Men,1 ,140.00
12,12,"PUMA x LAMELO BALL MB.03 LaFrancé Men's Basketball Shoes
Fluro Green Pes-PUMA Green-Fluro Yellow Pes",Men,1 ,125.00
13,13,"Suede Classic XXI Sneakers
Gray Violet-Puma White",Men,10 ,75.00
14,14,"CA Pro Classic Sneakers
Puma Black",Men,3 ,80.00
15,15,"Basket Classic XXI Men's Sneakers
Puma White-Puma Black",Men,3 ,75.00
16,16,"King Ultimate FG/AG Men's Soccer Cleats
PUMA Black-PUMA White-Fire Orchid",Men,4 ,200.00
17,17,"RS-X Hi Men's Sneakers
PUMA White-Alpine Snow",Men,2 ,140.00
18,18,"Voltaic Evo Running Shoe
PUMA Black-Stormy Slate-For All Time Red",Men,3 ,80.00
19,19,"RS-XK Sneakers
PUMA Black-PUMA Black",Men,2 ,110.00
20,20,"PUMA x LAMELO BALL x DEXTER'S LABORATORY MB.03 Men's Basketball Shoes
Poison Pink-Fluro Orange Pes",Men,1 ,135.00
21,21,"Suede Gum Men's Sneakers
Pebble-Gum",Men,2 ,75.00
22,22,"Basket Classic XXI Men's Sneakers
Puma Black-Puma Black",Men,3 ,75.00
23,23,"BWW M Motorsport Men's Suede Sneakers
Amber-PUMA Black-Puma White",Men,1 ,85.00
24,24,"Clyde Tokyo Sneakers
Sedate Gray-Pinktastic",Men,1 ,110.00
25,25,"Roma Classic Gum Sneakers
Puma Black-Puma Team Gold",Men,2 ,70.00
26,26,"Basket Classic XXI Men's Sneakers
Puma White-Puma White",Men,3 ,75.00
27,27,"FENTY x PUMA Creeper Phatty Men's Sneakers
PUMA Black-Warm White-Gum",Men,3 ,140.00
28,28,"Speedcat Shield Sneakers
PUMA White-PUMA Black-Vapor Gray",Men,1 ,90.00
29,29,"All-Pro NITRO™ Men's Basketball Shoes
PUMA Black-PUMA White-Lime Squeeze",Men,1 ,130.00
30,30,"Speedcat Shield SD Driving Shoes
Myrtle-Myrtle-PUMA Black",Men,3 ,90.00
31,31,"Roma Classic Gum Sneakers
Puma White-Puma Team Gold",Men,2 ,70.00
32,32,"Speedcat Shield SD Driving Shoes
Ash Gray-For All Time Red-PUMA Black",Men,3 ,90.00
33,33,"Suede Classic XXI Sneakers
Malachite-PUMA White",Men,10 ,75.00
34,34,"Porsche Legacy Speedcat Driving Shoes
Sand Dune-Bold Blue-PUMA White",Men,1 ,110.00
35,35,"Deviate NITRO™ 2 Men's Running Shoes
Puma Black",Men,1 ,160.00
36,36,"Voltaic Evo Running Shoe
Club Navy-PUMA Black-Electric Lime",Men,3 ,80.00
37,37,"Suede Pumpkin Pie Men's Sneakers
Pumpkin Pie-Amber",Men,1 ,75.00
38,38,"PUMA-180 Perf Men's Sneakers
Smokey Gray-Cool Light Gray",Men,1 ,100.00
39,39,"RS-XK Sneakers
Alpine Snow-Alpine Snow",Men,2 ,110.00
40,40,"PUMA x LAMELO BALL MB.01 Lo Men's Basketball Shoes
Puma White-Silver",Men,2 ,120.00
41,41,"PUMA x CIELE Deviate NITRO™ 2 Men's Running Shoes
Dusty Tan",Men,2 ,160.00
42,42,"CA Pro Sport NBK Men's Sneakers
Warm White-Parisian Night",Men,2 ,110.00
