,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
0,20.0, Puma Black-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_01
1,15.0, Purple Glimmer-Green Gecko,,,,, 378916_01
2,15.0, PUMA White,,,,, 379303_01
3,20.0, Puma Black-Puma Black, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_12
4,20.0, Peacoat-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_04
5,20.0, Steel Gray-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_07
6,20.0, High Risk Red-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_02
7,20.0, Cabernet-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_06
8,15.0, Feather Gray-Lime Smash,,,,, 379235_01
9,20.0, Honey Mustard-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_05
10,17.0, Warm White-Warm White,,,,, 394873_01
11,13.0, Metallic Gold-Fiery Coral,,,,, 379223_01
12,15.0, Fluro Green Pes-PUMA Green-Fluro Yellow Pes,,,,, 379233_01
13,20.0, Gray Violet-Puma White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_03
14,19.0, Puma Black, Puma Black, Puma White,,, 380190_02
15,19.0, Puma White-Puma Black, Puma White, Puma Black,,, 374923_02
16,20.0, PUMA Black-PUMA White-Fire Orchid, Silver Sky, Persian Blue, Alpine Snow,, 107563_01
17,12.0, PUMA White-Alpine Snow, PUMA White,,,, 392718_04
18,13.0, PUMA Black-Stormy Slate-For All Time Red, For All Time Red, Club Navy,,, 379601_01
19,17.0, PUMA Black-PUMA Black, PUMA Black,,,, 392787_07
20,, Poison Pink-Fluro Orange Pes,,,,, 379330_01
21,16.0, Pebble-Gum, Pebble,,,, 381174_02
22,19.0, Puma Black-Puma Black, Puma White, Puma Black,,, 374923_03
23,13.0, Amber-PUMA Black-Puma White,,,,, 307791_01
24,19.0, Sedate Gray-Pinktastic,,,,, 393078_01
25,18.0, Puma Black-Puma Team Gold, Puma Black,,,, 366408_02
26,19.0, Puma White-Puma White, Puma White, Puma Black,,, 374923_01
27,21.0, PUMA Black-Warm White-Gum, Speed Blue, Lavender Alert,,, 396403_01
28,20.0, PUMA White-PUMA Black-Vapor Gray,,,,, 397116_01
29,15.0, PUMA Black-PUMA White-Lime Squeeze,,,,, 378541_02
30,18.0, Myrtle-Myrtle-PUMA Black, Myrtle, Ultra Blue,,, 387272_05
31,18.0, Puma White-Puma Team Gold, Puma Black,,,, 366408_01
32,18.0, Ash Gray-For All Time Red-PUMA Black, Myrtle, Ultra Blue,,, 387272_04
33,20.0, Malachite-PUMA White, High Risk Red, Gray Violet, Peacoat, Honey Mustard, 374915_89
34,18.0, Sand Dune-Bold Blue-PUMA White,,,,, 307211_07
35,14.0, Puma Black,,,,, 376807_01
36,13.0, Club Navy-PUMA Black-Electric Lime, For All Time Red, Club Navy,,, 379601_03
37,13.0, Pumpkin Pie-Amber,,,,, 393260_01
38,13.0, Smokey Gray-Cool Light Gray,,,,, 394798_01
39,12.0, Alpine Snow-Alpine Snow, PUMA Black,,,, 392787_04
40,13.0, Puma White-Silver,,,,, 376941_04
41,11.0, Dusty Tan, Dusty Tan,,,, 378436_02
