,Unnamed: 0,reviews,Size,comfort,quality,star_rating
0,0,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
1,1,70,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",80.70,80.70,4.2
2,2,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",80.70,80.70,5.0
3,3,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
4,4,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
5,5,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
6,6,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
7,7,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
8,8,3,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",80.70,80.70,4.3
9,9,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
10,10,1,",5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",80.70,80.70,4.0
11,11,9,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,16",80.70,80.70,4.9
12,12,26,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",80.70,80.70,4.0
13,13,418,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15",80.70,80.70,4.2
14,14,54,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",80.70,80.70,4.1
15,15,42,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",80.70,80.70,3.9
16,16,9,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",80.70,80.70,4.4
17,17,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",80.70,80.70,0.0
18,18,2,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",80.70,80.70,5.0
19,19,3,",4.5,5,5.5,6,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",80.70,80.70,3.7
20,20,0,nan,80.70,80.70,0.0
21,21,13,",4,4.5,5.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",80.70,80.70,4.3
