,Unnamed: 0,reviews,Size,comfort,quality,star_rating
0,0,10.0,"8,9,10,11",7.0,2.0,4.4
1,1,15.0,"10,11,12",13.0,7.0,4.8
2,2,10.0,11,7.0,2.0,4.4
3,3,15.0,"9,11,12",13.0,7.0,4.8
4,4,33.0,"7,8,9,10,11,12",26.0,19.0,4.4
5,5,82.0,"7,8,9,10,11,12,13",74.0,54.0,4.9
6,6,14.0,"7,8,9,10,11,12",12.0,6.0,4.6
7,7,,"8,9,10,11,12",,,0.0
8,8,195.0,11,170.0,138.0,4.7
9,9,6.0,"7,8,9,10,12,13,14",3.0,3.0,2.7
10,10,1.0,"8,9,10,11",1.0,1.0,5.0
11,11,20.0,"8,9,10",15.0,15.0,5.0
12,12,,9,,,
13,13,,"8,9",,,0.0
14,14,133.0,10,117.0,91.0,4.7
15,15,82.0,"8,10,11",74.0,54.0,4.9
16,16,133.0,"8,9,10,11",117.0,91.0,4.7
17,17,10.0,"8,10,11",9.0,8.0,4.8
18,18,10.0,"8,9,10,11",9.0,8.0,4.8
19,19,195.0,10,170.0,138.0,4.7
20,20,1.0,"8,10,11,12",1.0,1.0,5.0
21,21,44.0,"9,10",39.0,37.0,4.6
22,22,3.0,"8,9,10,11",3.0,3.0,5.0
23,23,3.0,"8,9,10,11",3.0,3.0,5.0
24,24,2.0,"8,9,10,11",2.0,2.0,4.5
25,25,37.0,"9,10,11",35.0,29.0,4.7
26,26,37.0,"8,10",35.0,29.0,4.7
27,27,496.0,13,437.0,337.0,4.7
28,28,496.0,"11,13",437.0,337.0,4.7
29,29,2.0,"7,9,11,12,13",2.0,1.0,4.0
30,30,381.0,"7,11",334.0,228.0,4.7
31,31,381.0,"7,11,13,14",334.0,228.0,4.7
32,32,24.0,"9,10,11,12",23.0,19.0,4.8
33,33,24.0,"11,12",23.0,19.0,4.8
34,34,181.0,10,166.0,97.0,4.7
35,35,30.0,7,27.0,20.0,4.6
36,36,,"7,8,9,10,11,12",,,0.0
37,37,181.0,"7,9,10,12",166.0,97.0,4.7
38,38,30.0,"7,8,9,10,12",27.0,20.0,4.6
39,39,1245.0,"7,9,10,11",1117.0,806.0,4.8
40,40,14.0,"7,8,9,10,11,12,13,14",12.0,6.0,4.6
