,Unnamed: 0,ShoeName,Category,no_of_colors,Price
0,0,Nike Air Max AP,Men,4 ,105.0
1,1,Nike M2K Tekno,Men,1 ,120.0
2,2,"Air Jordan 1 High OG ""Royal Reimagined""",Men,1 ,180.0
3,3,Nike Dunk Low,Men,1 ,115.0
4,4,Nike Blazer Phantom Mid,Men,3 ,127.97
5,5,Nike Zoom Vomero 5,Men,3 ,150.0
6,6,"Sabrina 1 ""West Coast Roots""",Men,5 ,160.0
7,7,Nike Vaporfly 3,Men,8 ,130.0
8,8,Nike Air Max 2017,Men,4 ,260.0
9,9,Nike P-6000,Men,9 ,190.0
10,10,Nike Dunk High Retro SE,Men,1 ,110.0
11,11,Nike Air More Uptempo '96,Men,7 ,119.97
12,12,"Nike Air Trainer 1 ""College Football Playoff""",Men,2 ,140.0
13,13,"Air Jordan XXXVIII ""Aqua""",Men,4 ,153.97
14,14,"KD16 ""B.A.D.""",Men,6 ,180.0
15,15,Tiger Woods '13,Men,3 ,140.0
16,16,"Air Jordan 13 ""Wheat""",Men,1 ,200.0
17,17,"Air Jordan 8 ""Winterized""",Men,1 ,160.0
18,18,"Air Jordan 3 ""Fear""",Men,2 ,250.0
19,19,"Air Jordan 4 Craft ""Olive""",Men,1 ,200.0
20,20,Nike Dunk Low Retro,Men,1 ,210.0
21,21,Nike Air Force 1 '07,Men,1 ,210.0
22,22,Nike Blazer Mid '77,Men,1 ,210.0
23,23,Nike Dunk Low Retro Premium,Men,2 ,115.0
24,24,Nike Air Max 270,Men,9 ,114.97
25,25,Nike Air Alpha Force 88,Men,2 ,135.0
26,26,Nike Air Flight Huarache,Men,3 ,93.97
27,27,Nike Air Penny 2 x Stüssy,Men,2 ,110.0
28,28,"Zion 3 ""Gen Zion""",Men,3 ,120.0
29,29,"Luka 2 ""Caves""",Men,1 ,160.0
30,30,"Air Jordan 1 Low OG ""White/Red""",Men,2 ,140.0
31,31,Air Jordan 1 Mid,Men,7 ,93.97
32,32,Nike Air Force 1 '07 LX,Men,1 ,125.0
33,33,Nike Dunk Low Retro,Men,4 ,200.0
34,34,Air Jordan 1 Zoom CMFT 2,Men,7 ,140.0
35,35,Air Jordan 1 Mid SE Craft,Men,3 ,130.0
36,36,Nike Air Max 1 Premium,Men,1 ,140.0
37,37,Nike Air Max 1,Men,1 ,106.97
38,38,Air Jordan 1 Mid SE,Men,2 ,125.0
39,39,Air Jordan 1 Low SE,Men,2 ,135.0
40,40,"LeBron XXI ""Freshwater""",Men,5 ,115.0
41,41,LeBron NXXT Gen,Men,9 ,127.97
42,42,Nike Pegasus 40,Men,25 ,150.0
43,43,Nike Invincible 3,Men,18 ,114.97
44,44,Nike Full Force Low,Men,5 ,135.0
45,45,Nike Air Max 1 SC,Men,5 ,136.97
46,46,Nike Air Force 1 '07,Men,4 ,160.0
47,47,Nike Air Max 2013,Men,3 ,105.97
48,48,Nike Air Max Pulse Roam,Men,2 ,140.0
49,49,Nike Killshot 2 Leather,Men,7 ,135.0
50,50,Nike G.T. Cut 2 GTE,Men,1 ,125.0
51,51,Nike G.T. Hustle 2,Men,6 ,150.97
52,52,Nike G.T. Jump 2,Men,5 ,200.0
53,53,Freak 5,Men,9 ,144.97
54,54,Giannis Immortality 3,Men,8 ,170.0
55,55,Nike InfinityRN 4 GORE-TEX,Men,3 ,130.0
56,56,Nike InfinityRN 4,Men,21 ,180.0
57,57,Nike Air Max Penny,Men,8 ,95.0
58,58,Nike Air Max 90 GORE-TEX,Men,3 ,150.0
59,59,Nike Pegasus Trail 4 GORE-TEX,Men,10 ,91.97
60,60,Nike Vomero 17,Men,9 ,115.0
61,61,Nike Air VaporMax 2023 Flyknit,Men,8 ,180.0
62,62,Nike Air VaporMax Plus,Men,8 ,144.97
63,63,Nike Air Max 90,Men,4 ,170.0
64,64,Jordan Retro 6 G NRG,Men,1 ,90.0
65,65,Air Jordan 1 Low G NRG,Men,1 ,153.97
66,66,Air Jordan 1 High G NRG,Men,1 ,180.0
67,67,Nike Air Max Pulse,Men,9 ,170.0
68,68,"Air Jordan 2 ""Origins""",Men,2 ,180.0
69,69,Nike Metcon 9 AMP,Men,2 ,105.97
70,70,Nike Dunk Low Retro,Men,1 ,140.0
71,71,Air Jordan Legacy 312 Low,Men,4 ,76.97
72,72,Nike Air Max Plus,Men,10 ,90.0
73,73,Nike Dunk High Retro,Men,3 ,153.97
74,74,Nike Air Force 1 '07,Men,2 ,180.0
75,75,Nike Free Metcon 5,Men,11 ,160.0
76,76,Air Jordan 1 Mid SE,Men,1 ,153.97
77,77,Nike Roshe One,Men,4 ,180.0
78,78,Nike Air Max Excee,Men,8 ,136.97
79,79,Air Jordan 1 Low SE Craft,Men,1 ,160.0
