,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
0,16.0, Light Orewood Brown, Black, White, White,, CU4826-105
1,14.0, White,,,,, BQ3378-100
2,24.0, Black,,,,, DZ5485-042
3,16.0, White,,,,, FQ8826-100
4,21.0, White, White, Light Silver,,, DX5800-100
5,21.0, Black, Vast Grey, Worn Blue,,, BV1358-003
6,26.0, Medium Soft Pink, Light Bone, Black, Oxygen Purple, White, FQ3381-600
7,16.0, Football Grey, Sea Glass, White, Hyper Pink, Black, DV4129-006
8,16.0, White, Cool Grey, Pure Platinum, Black, Black, 849559-100
9,21.0, Racer Blue, Metallic Silver, Racer Blue, White, Sail, CD6404-400
10,16.0, Baroque Brown, Multi-Color,,,, FB8892-200
11,21.0, Baroque Brown, Light Iron Ore, Photon Dust, White, Coconut Milk, FB8883-200
12,16.0, White, White,,,, FJ6196-100
13,24.0, Black, White, Light Marine, White,, DZ3356-001
14,26.0, Field Purple, Mint Foam, Black, Ember Glow, Deep Royal, DV2917-500
15,12.0, White, Photon Dust, Black,,, DR5752-100
16,24.0, White,,,,, 414571-171
17,17.0, Black,,,,, FD1334-001
18,17.0, Night Stadium, White,,,, CT8532-080
19,17.0, Medium Olive,,,,, FB9927-200
20,16.0, Fir,,,,, FV8106-361
21,16.0, Cream II,,,,, FQ8823-236
22,16.0, Cream II,,,,, FQ8824-236
23,21.0, Sequoia, Sequoia,,,, DZ2538-300
24,16.0, White, Night Maroon, Medium Olive, White, White, AH8050-107
25,21.0, White, White,,,, DZ4627-101
26,21.0, Hemp, Sail, Black,,, FD0192-200
27,21.0, Rattan, Black,,,, DX6934-200
28,24.0, Black, White, Mint Foam,,, DR0675-018
29,24.0, Smoke Grey,,,,, DX9013-008
30,24.0, White, Sail,,,, CZ0790-161
31,17.0, White, White, Black, White, Black, DQ8426-106
32,24.0, White, Multi-Color, Multi-Color, Multi-Color, Multi-Color, CU6312-100
33,16.0, White, White, White, White, Multi-Color, DV0831-105
34,17.0, Summit White, Summit White, Muslin, Cement Grey, White, DV1307-101
35,17.0, Anthracite, Cement Grey, White,,, FD6817-003
36,16.0, Light Iron Ore,,,,, FQ8731-012
37,16.0, White,,,,, FD9082-104
38,17.0, Off Noir, Off Noir,,,, FB9911-001
39,17.0, Off Noir, Off Noir,,,, FB9907-001
40,25.0, Violet Dust, Violet Dust, Melon Tint, Light Bone, Black, FV2345-500
41,25.0, Court Purple, Court Purple, Wolf Grey, Track Red, Black, DR8784-500
42,19.0, Platinum Tint, Platinum Tint, Sea Glass, Black, Black, DV3853-006
43,16.0, White, White, Cool Grey, White, White, DR2615-103
44,16.0, White, Black, White, White, White, FB1362-103
45,21.0, Photon Dust, Light Bone, White, Light Orewood Brown, Neutral Grey, FB9660-001
46,19.0, White, White, White, White, Multi-Color, CT2302-100
47,16.0, Black, Medium Olive, Desert Sand,,, FZ3156-010
48,21.0, Stone, Dark Smoke Grey,,,, DZ3544-200
49,16.0, Sail, Sail, Sail, Sail, Sail, 432997-124
50,24.0, Black,,,,, FV4145-001
51,25.0, White, Black, Luminous Green, White, Black, DJ9405-102
52,, Wolf Grey, Black, Light Fusion Red, Black, Mica Green, DJ9431-002
53,25.0, Noble Red, Geode Teal, Fossil Stone, Black, Blue Lightning, DX4985-600
54,25.0, Noble Red, Geode Teal, Fossil Stone, Black, Black, DZ7533-600
55,19.0, Sea Glass, Deep Jungle, Black,,, FB2204-002
56,19.0, Black, Black, White, Cool Grey, Sesame, DR2665-006
57,16.0, Stadium Green, Black, Stadium Green, White, Photon Dust, FQ8827-324
58,21.0, Medium Olive, Medium Olive, Black,,, FD5810-200
59,16.0, Light Carbon, Pale Ivory, Deep Jungle, Black, Medium Olive, DJ7926-006
60,19.0, White, Black, Deep Jungle, Sea Glass, Midnight Navy, FB1309-100
61,16.0, Anthracite, Honeydew, Light Ultramarine, Anthracite, Pure Platinum, DV1678-008
62,16.0, Black, Oil Green, Black, Black, Black, 924453-018
63,16.0, Wolf Grey, Wolf Grey, Black, White,, CN8490-001
64,22.0, Photon Dust,,,,, FD6719-001
65,22.0, Metallic Silver,,,,, FD6848-001
66,22.0, Metallic Silver,,,,, FD6815-001
67,16.0, Black, Black, Black, Light Bone, Summit White, DR0453-005
68,17.0, White, Black,,,, DR8884-101
69,16.0, Atomic Orange, Atomic Orange, Multi-Color,,, DZ2616-800
70,16.0, White, Multi-Color,,,, DD1391-100
71,17.0, White, Black, White, White,, CD7069-160
72,21.0, Black, Black, Pure Platinum, Black, Flat Pewter, FV0393-001
73,16.0, White, White, White, Multi-Color,, DV0829-100
74,16.0, Black, Black, Multi-Color, Multi-Color, Multi-Color, DZ4404-001
75,16.0, Black, Game Royal, Signal Blue, Court Purple, Bright Ceramic, DV3949-004
76,17.0, Black,,,,, 852542-007
77,, Wolf Grey, Midnight Navy, Wolf Grey, Black,, 511881-023
78,16.0, White, White, Black, White, Photon Dust, FN7304-100
79,17.0, Sky J Light Olive,,,,, FD6819-300
80,14.0, Sesame, Volt, University Red, Geode Teal, Black, FD4116-200
81,24.0, White, Black, Phantom, Black, Wolf Grey, DM1124-100
82,21.0, White, Black, Off Noir, Summit White, Off Noir, DQ3977-100
83,16.0, Black, Black, Wolf Grey,,, DJ4701-003
84,16.0, White, White, White,,, DH3162-100
85,14.0, Light Iron Ore, Pine Green, Light Iron Ore, Citron Tint, Muslin, DV1305-001
86,16.0, Light Smoke Grey, Light Smoke Grey, Anthracite,,, FB9658-002
87,17.0, White, Black, White,,, DC8418-168
88,16.0, White, White, White, White, White, BQ6806-124
89,16.0, Midnight Navy, Midnight Navy, White, Black,, CD0197-400
