,Unnamed: 0,reviews,Size,comfort,quality,star_rating
0,0,200.0,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",,,4.5
1,1,4.0," 5 ,  3.5, 5.5 ,  4, 6 ,  4.5, 6.5 ,  5, 7 ,  5.5, 7.5 ,  6, 8 ,  6.5, 8.5 ,  7, 9 ,  7.5, 9.5 ,  8, 10 ,  8.5, 10.5 ,  9, 11 ,  9.5, 11.5 ,  10, 12 ,  10.5",,,4.5
2,2,832.0," 3.5 ,  5, 4 ,  5.5, 4.5 ,  6, 5 ,  6.5, 5.5 ,  7, 6 ,  7.5, 6.5 ,  8, 7 ,  8.5, 7.5 ,  9, 8 ,  9.5, 8.5 ,  10, 9 ,  10.5, 9.5 ,  11, 10 ,  11.5, 10.5 ,  12, 11 ,  12.5, 11.5 ,  13, 12 ,  13.5, 12.5 ,  14, 13 ,  14.5, 14 ,  15.5, 15 ,  16.5, 16 ,  17.5, 17 ,  18.5, 18 ,  19.5",,,4.9
3,3,5.0," 6 ,  7.5, 6.5 ,  8, 7 ,  8.5, 7.5 ,  9, 8 ,  9.5, 8.5 ,  10, 9 ,  10.5, 9.5 ,  11, 10 ,  11.5, 10.5 ,  12, 11 ,  12.5, 11.5 ,  13, 12 ,  13.5, 12.5 ,  14, 13 ,  14.5, 14 ,  15.5, 15 ,  16.5",,,5.0
4,4,5.0,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",,,4.3
5,5,29.0," 3.5 ,  5, 4 ,  5.5, 4.5 ,  6, 5 ,  6.5, 5.5 ,  7, 6 ,  7.5, 6.5 ,  8, 7 ,  8.5, 7.5 ,  9, 8 ,  9.5, 8.5 ,  10, 9 ,  10.5, 9.5 ,  11, 10 ,  11.5, 10.5 ,  12, 11 ,  12.5, 11.5 ,  13, 12 ,  13.5, 12.5 ,  14, 13 ,  14.5, 14 ,  15.5, 15 ,  16.5",,,4.8
6,6,99.0," 5 ,  3.5, 5.5 ,  4, 6 ,  4.5, 6.5 ,  5, 7 ,  5.5, 7.5 ,  6, 8 ,  6.5, 8.5 ,  7, 9 ,  7.5, 9.5 ,  8, 10 ,  8.5, 10.5 ,  9, 11 ,  9.5, 11.5 ,  10, 12 ,  10.5, 12.5 ,  11, 13 ,  11.5, 13.5 ,  12, 14 ,  12.5, 14.5 ,  13, 15 ,  13.5, 15.5 ,  14, 16 ,  14.5, 16.5 ,  15, 17.5 ,  16, 18.5 ,  17, 19.5 ,  18",,,4.7
7,7,219.0,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",,,4.6
8,8,205.0,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",,,3.8
9,9,24.0,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14,15",,,4.9
