,Unnamed: 0,ShoeName,Category,no_of_colors,Price
0,0,Black Slip-On Shoe For Men,Men,1 ,18.85
1,1,,Men,1 ,
2,2,Camel Sneakers For Men,Men,3 ,22.45
3,3,,Men,1 ,
4,4,Black Sneaker For Men,Men,3 ,29.94
5,5,Black/Lgrey Slip Shoe For Men,Men,3 ,19.27
6,6,Grey Slip-On Shoe For Men,Men,3 ,17.95
7,7,Snaype Casual Sneaker For Men,Men,2 ,28.76
8,8,Teal Sneaker For Men,Men,3 ,18.43
9,9,Dgrey Slip-On Shoe For Men,Men,2 ,25.15
10,10,Navy Sneakers For Men,Men,3 ,25.15
11,11,Woodland Red Sneakers,Men,2 ,26.6
12,12,Grey Slip-On Shoe For Men,Men,3 ,22.45
13,13,White/Blue Sports Shoes For Men,Men,2 ,89.94
14,14,Lgrey/Orange Sports Shoes For Men,Men,2 ,89.94
15,15,Black Fabric Luxury Sports Shoes,Men,2 ,53.96
16,16,Black Sports Shoes For Men,Men,2 ,89.94
17,17,White/Black Sports Shoe For Men,Men,2 ,89.94
18,18,Blue Sneakers For Men,Men,2 ,46.76
19,19,White Fabric Luxury Sports Shoes,Men,2 ,53.96
20,20,Black/Red Sneaker For Men,Men,2 ,25.15
21,21,Black Slip-On Sneaker,Men,2 ,43.16
22,22,Beige Fabric Luxury Sports Shoes,Men,2 ,53.96
23,23,RB Brown Sneakers For Men,Men,2 ,41.96
24,24,Beige Sneaker For Men,Men,2 ,61.16
25,25,White Sports Shoes For Men,Men,1 ,83.94
26,26,White Sports Shoe For Men,Men,2 ,61.16
27,27,Navy Chunky Sole Sneakers,Men,2 ,46.76
28,28,Blue Slip On Shoes,Men,2 ,43.16
29,29,Black Sneaker For Men,Men,2 ,57.56
30,30,Grey Sneaker For Men,Men,2 ,57.56
31,31,Black/Grey Sports Shoe For Men,Men,1 ,57.56
32,32,Olive Casual Sneaker,Men,2 ,24.0
33,33,Black/Grey Casual Sneaker For Men,Men,1 ,64.76
34,34,Black Sneakers For Men,Men,2 ,57.56
35,35,Blue/White Casual Sneaker For Men,Men,1 ,64.76
36,36,Woodland DOVE WHITE Sneakers,Men,3 ,37.76
37,37,Dark Grey Casual Sneaker For Men,Men,2 ,32.96
38,38,Navy Sports Sneaker For Men,Men,1 ,57.56
39,39,Lgrey Sneaker For Men,Men,2 ,61.16
40,40,Sand Sports Shoe For Men,Men,1 ,57.56
41,41,Woodland NAVY Sneakers,Men,1 ,37.76
42,42,BLUE Casual Sneakers,Men,1 ,50.96
43,43,Camel Casual Sneakers For Men,Men,1 ,24.0
44,44,DNAVY High-Top Sneakers,Men,1 ,30.0
45,45,White Casual Sneaker For Men,Men,1 ,47.96
46,46,Army Sneaker For Men,Men,1 ,57.56
47,47,Grey Slip-On Shoes For Men,Men,2 ,18.85
48,48,Grey High Ankle Sneakers,Men,2 ,30.0
49,49,Dark Green Casual Sneakers For Men,Men,2 ,32.96
50,50,Navy /Brown Sneaker For Men,Men,1 ,57.56
51,51,Navy Sneakers For Men,Men,3 ,17.96
52,52,Navy Slip-On Shoe For Men,Men,2 ,19.27
53,53,Cashew Brown Sneaker For Men,Men,2 ,35.95
54,54,White Canvas Sneaker For Men,Men,2 ,16.52
55,55,White Casual Sneaker For Men,Men,1 ,41.96
56,56,Brown Outdoor Shoe,Men,4 ,25.88
57,57,Woodland SNAYPE Sneakers,Men,2 ,37.76
58,58,Lbrown/White Sports Sneaker For Men,Men,1 ,57.56
59,59,Black Casual Sneakers For Men,Men,1 ,30.0
60,60,Lgrey Sneaker For Men,Men,2 ,61.16
61,61,Navy And Grey Sneakers For Men,Men,2 ,44.96
62,62,Blue Casual Sneaker For Men,Men,1 ,100.76
63,63,Black/Apple Green Sneaker For Men,Men,2 ,25.15
64,64,Black Sneakers For Men,Men,2 ,26.95
65,65,Grey Sports Shoe For Men,Men,2 ,64.76
66,66,SNAYPE Casual Sneakers,Men,3 ,32.96
67,67,Woodland Rblue High Ankle Sneakers,Men,3 ,30.0
68,68,Grey/Owhite Slip-On Sneaker For Men,Men,2 ,19.27
69,69,Grey Casual Sneakers For Men,Men,1 ,79.16
70,70,Navy Sneaker For Men,Men,3 ,21.79
71,71,Woodland DNAVY Casual Shoes,Men,3 ,45.54
72,72,Navy Sneaker For Men,Men,3 ,22.45
73,73,Navy Sneaker For Men,Men,2 ,31.14
74,74,Black Sneaker For Men,Men,3 ,20.11
75,75,Grey Sneakers For Men,Men,4 ,21.79
76,76,Blue Sneakers For Men,Men,3 ,30.0
77,77,Grey/Red Sneakers For Men,Men,3 ,23.35
78,78,Navy Canvas Sneaker For Men,Men,3 ,17.24
79,79,Black Sneakers For Men,Men,2 ,20.65
80,80,Navy Casual Sneakers,Men,1 ,18.0
81,81,White Sneaker For Men,Men,3 ,27.67
82,82,Black Sneakers For Men,Men,2 ,26.83
83,83,Grey Sneakers For Men,Men,2 ,26.95
84,84,Black High-Top Sneaker For Men,Men,2 ,24.0
85,85,Navy Sneaker For Men,Men,2 ,22.45
86,86,Grey Casual Sneakers For Men,Men,1 ,57.56
87,87,Navy Sports Shoe For Men,Men,1 ,57.56
88,88,Grey Sneaker For Men,Men,1 ,41.96
89,89,Blue Casual Sneakers For Men,Men,2 ,30.0
90,90,Olive/Black Sneaker For Men,Men,3 ,21.56
91,91,Red/Navy Sneaker For Men,Men,4 ,20.84
92,92,Grey Sneaker For Men,Men,2 ,26.95
93,93,Olive Sneakers For Men,Men,3 ,22.45
94,94,White Sports Shoe For Men,Men,3 ,33.54
95,95,White Slip-On Shoes For Men,Men,2 ,20.65
96,96,Olive/Black Sneakers For Men,Men,3 ,27.32
97,97,Navy/White Mesh Pu Mens Sports Shoe,Men,3 ,25.15
98,98,Grey Sneakers For Men,Men,2 ,64.76
99,99,Grey Sneakers For Men,Men,2 ,47.96
100,100,LKHAKI Low-Top Sneakers,Men,2 ,24.0
101,101,Black Slip-On Shoes,Men,2 ,25.15
102,102,Navy Sneaker For Men,Men,2 ,24.25
103,103,Grey/Green Sports Shoe For Men,Men,1 ,57.56
104,104,Brown Sports Shoe For Men,Men,1 ,57.56
105,105,Brown Casual Sneakers For Men,Men,2 ,14.4
106,106,Taupe Sports Shoe For Men,Men,1 ,57.56
107,107,PARIS KHAKI Sneaker For Men,Men,3 ,35.96
108,108,Dubai Khaki Sneakers For Men,Men,4 ,44.34
109,109,Navy Sneakers For Men,Men,2 ,23.72
110,110,Black Slip-On Shoes For Men,Men,2 ,16.15
111,111,Brown/Maroon Canvas Shoes For Women,Women,2 ,26.96
112,112,Lgrey Sneaker For Women,Women,3 ,59.94
113,113,Woodland DCadet Blue Casual Sneakers,Women,2 ,59.94
114,114,Variglia Sneakers For Women,Women,3 ,53.94
115,115,DBLUE Casual Sneakers,Women,1 ,29.96
116,116,White Canvas Shoes For Women,Women,2 ,26.96
117,117,White Sneakers For Women,Women,2 ,29.96
118,118,Black Canvas Shoes For Women,Women,2 ,32.96
119,119,Grey/Green Sneaker For Women,Women,2 ,89.94
120,120,Maroon Canvas Shoes For Women,Women,3 ,29.96
121,121,Desert Rose Sneaker For Women,Women,3 ,35.96
122,122,Black/Purple Sports Shoe For Women,Women,2 ,83.94
123,123,Grey Sneaker For Men,Women,2 ,83.94
124,124,Pink/Blue Sneaker For Women,Women,2 ,83.94
125,125,Pink Sneakers For Women,Women,2 ,26.96
126,126,White Fabric Ladies Luxury Sports Shoes,Women,2 ,50.36
127,127,White Sneaker For Women,Women,2 ,53.96
128,128,Tan Casual Sneakers,Women,1 ,29.96
129,129,White Sneaker For Women,Women,2 ,57.56
130,130,Blue Sneaker For Women,Women,2 ,50.36
131,131,Fuschia Fabric Ladies Luxury Sports Shoes,Women,2 ,50.36
132,132,Woodland Camel Casual Sneakers,Women,1 ,47.65
133,133,White/Purple Sneakers For Women,Women,1 ,89.94
134,134,Light Blue Casual Sneakers For Women,Women,2 ,19.2
135,135,Black Sneaker For Women,Women,2 ,50.36
136,136,Grey Casual Sneaker For Women,Women,2 ,14.4
137,137,Navy Slip-On Sneaker For Women,Women,2 ,43.16
138,138,Purple/Grey Sneakers For Women,Women,2 ,57.56
139,139,Red Casual Sneakers,Women,2 ,18.0
140,140,Woodland DBLUE Casual Sneakers,Women,2 ,24.0
141,141,Pink Slip-On Shoes,Women,2 ,18.0
142,142,Grey Slip-On Shoes For Women,Women,2 ,14.4
143,143,Grey Sneaker For Women,Women,2 ,43.16
144,144,Woodland Rust Brown High Ankle Sneakers,Women,2 ,39.56
145,145,Woodland Black Casual Sneakers,Women,2 ,24.0
146,146,Blue Sports Sneaker For Women,Women,1 ,46.76
147,147,Blue Sneaker For Women,Women,1 ,46.76
148,148,WHITE Leather Shoes,Women,3 ,57.56
149,149,Blue Casual Sneakers For Women,Women,2 ,24.0
150,150,Pink Chunky Sole Sneaker For Women,Women,1 ,46.76
151,151,White And Red Casual Sneaker,Women,1 ,57.56
152,152,Woods BLACK Casual Sneakers,Women,2 ,53.96
153,153,Blue Sneaker For Women,Women,2 ,43.16
154,154,Purple Chunky Sole Sneaker For Women,Women,1 ,46.76
155,155,LPINK High Ankle Sneakers For Women,Women,3 ,46.76
156,156,Beige Casual Sneaker,Women,2 ,29.36
157,157,Pink Sneakers For Women,Women,3 ,41.96
158,158,Woodland Black Casual Sneakers,Women,1 ,24.0
159,159,Rust Canvas Sneaker For Women,Women,1 ,19.2
160,160,Navy Casual Sneaker With Sequins,Women,1 ,24.0
161,161,Pink Sock-Style High Top Sneakers,Women,2 ,39.56
162,162,Woods BLACK High Wedge Heel,Women,1 ,53.96
163,163,LGREY Slip On Sneaker,Women,1 ,50.36
164,164,Orange Casual Sneaker,Women,2 ,12.0
165,165,Pink Sneaker For Women,Women,1 ,71.96
166,166,Light Brown High-Top Sneaker For Women,Women,3 ,100.76
167,167,Red Casual Sneakers,Women,1 ,18.0
168,168,Grey Slip-On Sneaker,Women,3 ,50.36
169,169,Woodland Lpink Casual Sneakers For Women,Women,2 ,24.0
170,170,LBLUE High Ankle Sneakers For Women,Women,2 ,46.76
171,171,Woods Black Sneakers For Women,Women,2 ,29.96
172,172,Graffiti/White Sneakers For Women,Women,3 ,24.0
173,173,ORANGE Casual Sneakers For Women,Women,4 ,14.4
174,174,Woodland Black Casual Sneakers,Women,2 ,24.0
175,175,Woods RED Casual Sneakers,Women,2 ,64.76
