,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
0,7.0,BLACK,,,,,
1,,,,,,,
2,8.0,WHITE,GREY,CAMEL,,,
3,,,,,,,
4,12.0,BLACK,NAVY,TAN,,,
5,12.0,BLACK/LGREY,NAVY/RED,LGREY/RBLUE,,,
6,12.0,GREY,NAVY,BLACK,,,
7,9.0,SNAYPE,DNAVY,,,,
8,10.0,TEAL,DGREY,NAVY,,,
9,11.0,DGREY,BLACK,,,,
10,11.0,NAVY,WHITE,BLACK,,,
11,12.0,RED,BLUE,,,,
12,12.0,GREY,BLACK,NAVY,,,
13,6.0,WHITE/BLUE,BLACK/GREEN,,,,
14,6.0,LGREY/ORANGE,WHITE/BLUE,,,,
15,7.0,BLACK,BLUE,,,,
16,6.0,BLACK,LGREY/YELLOW,,,,
17,6.0,WHITE/BLACK,LGREY/BLUE,,,,
18,7.0,BLUE,OLIVE,,,,
19,7.0,WHITE,BLACK,,,,
20,10.0,BLACK/RED,TEAL/GREY,,,,
21,7.0,BLACK,BLUE,,,,
22,7.0,BEIGE,BLACK,,,,
23,7.0,RB BROWN,NBLUE,,,,
24,7.0,BEIGE,GREY,,,,
25,6.0,WHITE,,,,,
26,9.0,WHITE,BLACK,,,,
27,9.0,NAVY,CASTOR GREY,,,,
28,7.0,BLUE,GREY,,,,
29,7.0,BLACK,GREY,,,,
30,8.0,GREY,BEIGE,,,,
31,7.0,BLACK/LGREY,,,,,
32,8.0,OLIVE,NAVY,,,,
33,8.0,BLACK/GREY,,,,,
34,9.0,BLACK,WHITE,,,,
35,7.0,BLUE/WHITE,,,,,
36,9.0,DOVE WHITE,WHITE,,,,
37,10.0,DGREY,NAVY,BLACK,,,
38,9.0,NAVY,,,,,
39,8.0,LGREY,DGREY,,,,
40,9.0,SAND,,,,,
41,9.0,NAVY,,,,,
42,7.0,BLUE,,,,,
43,13.0,CAMEL,DNAVY,,,,
44,8.0,DNAVY,,,,,
45,8.0,WHITE,,,,,
46,9.0,ARMY,,,,,
47,12.0,GREY,NAVY,BLACK,,,
48,13.0,GREY,BLACK,,,,
49,15.0,DGREEN,BLACK,,,,
50,9.0,NAVY/BROWN,,,,,
51,13.0,NAVY,WHITE,BLACK,,,
52,11.0,NAVY,GREY,WHITE,,,
53,12.0,CASHEW BROWN,DNAVY,,,,
54,11.0,WHITE,BLACK,,,,
55,9.0,WHITE,,,,,
56,12.0,BROWN,CAMEL,NAVY,DIRTY BROWN,,
57,9.0,SNAYPE,RUST BROWN,BLACK,,,
58,10.0,LBROWN/WHITE,,,,,
59,8.0,BLACK,,,,,
60,10.0,LGREY,AQUA,,,,
61,12.0,NAVY/GREY,BLACK/NAVY,,,,
62,10.0,BLUE,,,,,
63,11.0,BLACK/APPLE GREEN,DGREY,,,,
64,11.0,BLACK,WHITE,,,,
65,11.0,GREY,BEIGE/BLACK,,,,
66,10.0,SNAYPE,RUST BROWN,,,,
67,13.0,RBLUE,GREY,CAMEL,,,
68,13.0,GREY/OWHITE,WHITE/GREY,NAVY/BLUE,,,
69,10.0,GREY,,,,,
70,11.0,NAVY,GREY,BLACK,,,
71,13.0,DNAVY,CAMEL,KHAKI,,,
72,13.0,NAVY,GREY,OLIVE,,,
73,13.0,NAVY,LGREY,BLACK,,,
74,12.0,BLACK,NAVY,,,,
75,13.0,GREY,TEAL,BLACK,WHITE,,
76,13.0,BLUE,GREY,BLACK,,,
77,13.0,GREY/RED,BLACK/GREY,NAVY/TURQUOISE,,,
78,12.0,NAVY,WHITE,BLACK,,,
79,13.0,BLACK,WHITE,DGREY,,,
80,12.0,NAVY,,,,,
81,13.0,WHITE,BLACK,,,,
82,12.0,BLACK,NAVY,RED,,,
83,13.0,GREY,BLACK,,,,
84,13.0,BLACK,OLIVE GREEN,,,,
85,13.0,NAVY,BLACK,,,,
86,13.0,GREY,,,,,
87,13.0,NAVY,,,,,
88,12.0,GREY,,,,,
89,13.0,BLUE,GREY,,,,
90,12.0,OLIVE/BLACK,BLACK/WINE,,,,
91,13.0,RED/NAVY,AQUA/GREY,LGREY/RBLUE,OLIVE/BLACK,,
92,13.0,GREY,BLACK,,,,
93,13.0,OLIVE,NAVY,GREY,,,
94,13.0,WHITE,NAVY,GREY,,,
95,13.0,WHITE,GREY,,,,
96,13.0,OLIVE/BLACK,GREY/BLUE,DGREY/MAROON,,,
97,13.0,NAVY/WHITE,DGREY/APPLE GREEN,BLACK/RED,,,
98,13.0,GREY,BLACK,,,,
99,13.0,GREY,NAVY,,,,
100,12.0,LKHAKI,BLACK,,,,
101,13.0,BLACK,GREY,,,,
102,13.0,NAVY,GREY,,,,
103,13.0,GREY/GREEN,,,,,
104,12.0,BROWN,,,,,
105,13.0,BROWN,GREEN,,,,
106,13.0,TAUPE,,,,,
107,13.0,PARIS KHAKI,DNAVY 4,DBROWN,,,
108,13.0,DUBAI KHAKI,BLACK,OLIVE GREEN,CAMEL,,
109,13.0,NAVY,BLACK,,,,
110,13.0,BLACK,DGREY,,,,
111,7.0,BROWN/MAROON,YELLOW/OLIVE,,,,
112,7.0,LGREY,KHAKI,BROWN,,,
113,7.0,DCADET BLUE,CAMEL,,,,
114,7.0,VARIGLIA,LPINK,AIR BLUE,,,
115,7.0,DBLUE,,,,,
116,7.0,WHITE,BLACK,,,,
117,7.0,WHITE,BLACK,,,,
118,7.0,BLACK,WHITE,,,,
119,7.0,GREY/GREEN,WHITE/LGREY,,,,
120,7.0,MAROON,BEIGE,BLUE,,,
121,7.0,DESERT ROSE,GREY,DSKY BLUE,,,
122,7.0,BLACK/PURPLE,WHITE/PINK,,,,
123,7.0,GREY,WHITE/PINK,,,,
124,7.0,PINK/BLUE,GREEN/ORANGE,,,,
125,7.0,PINK,GREEN,,,,
126,7.0,WHITE,RUST,,,,
127,7.0,WHITE,PINK,,,,
128,7.0,TAN,,,,,
129,7.0,WHITE,BLUE,,,,
130,7.0,BLUE,GREEN,,,,
131,7.0,FUSCHIA,WHITE,,,,
132,7.0,CAMEL,,,,,
133,7.0,WHITE/PURPLE,,,,,
134,9.0,LBLUE,RUST,,,,
135,9.0,BLACK,GREY,,,,
136,9.0,GREY,BLUE,,,,
137,7.0,NAVY,WINE RED,,,,
138,7.0,PURPLE/GREY,BEIGE/PURPLE,,,,
139,7.0,RED,BLUE,,,,
140,7.0,DBLUE,LBEIGE,,,,
141,7.0,PINK,GREY,,,,
142,8.0,GREY,BLUE,,,,
143,7.0,GREY,BLUE,,,,
144,8.0,RUST BROWN,BLACK,,,,
145,7.0,BLACK,DROYAL BLUE,,,,
146,7.0,BLUE,,,,,
147,7.0,BLUE,,,,,
148,9.0,WHITE,,,,,
149,7.0,BLUE,OWHITE,BLACK,,,
150,7.0,PINK,,,,,
151,7.0,WHITE/RED,,,,,
152,9.0,BLACK,WHITE/BLACK,,,,
153,8.0,BLUE,GREY,,,,
154,8.0,PURPLE,,,,,
155,9.0,LPINK,,,,,
156,13.0,BEIGE,PINK,BLACK,,,
157,9.0,PINK,LGREY,,,,
158,11.0,BLACK,LBEIGE,NAVY,,,
159,13.0,RUST,MUSTARD,,,,
160,9.0,NAVY,,,,,
161,8.0,PINK,,,,,
162,9.0,BLACK,,,,,
163,7.0,LGREY,,,,,
164,9.0,ORANGE,NAVY,,,,
165,10.0,PINK,,,,,
166,9.0,LBROWN,,,,,
167,12.0,RED,NUDE,BLUE,,,
168,8.0,GREY,,,,,
169,13.0,LPINK,SKY BLUE,GREY,,,
170,10.0,LBLUE,,,,,
171,13.0,BLACK,WHITE,,,,
172,13.0,GRAFFITI/WHITE,PINK,,,,
173,12.0,ORANGE,WHITE,OBLUE,BLACK,,
174,13.0,BLACK,WHITE,,,,
175,11.0,RED,SILVER,,,,
176,13.0,BLACK,BLUE,,,,
177,13.0,GREY,PINK,,,,
178,12.0,PURPLE,,,,,
179,12.0,NAVY,,,,,
180,13.0,OWHITE,NAVY,,,,
181,13.0,WHITE,,,,,
182,13.0,WHITE,BLACK,,,,
183,13.0,WHITE,BLACK,,,,
184,13.0,WHITE,,,,,
185,13.0,DSKY BLUE,DESERT ROSE,,,,
186,13.0,RED,,,,,
187,13.0,NUDE,,,,,
