,reviews,Size,comfort,quality,star_rating
0,,"39,,40,41,42,43,44,45",,,
1,,,,,
2,,"39,,40,2 ,41,42,43,44,45",,,
3,,,,,
4,,"39,,40,2 ,41,,42,,43,2 ,44,45,",,,
5,,"39,,40,,41,42,,43,,44,,45,3 ",,,
6,,"39,,40,,41,,42,,43,44,,45,",,,
7,,"39,,40,2 ,41,42,43,44,45,",,,
8,,"39,,40,41,42,,43,,44,45,",,,
9,,"39,,40,3 ,41,42,43,,44,4 ,45,",,,
10,,"39,,40,41,42,,43,,44,,45,",,,
11,,"39,,40,41,,42,,43,,44,,45,",,,
12,,"39,,40,4 ,41,42,,43,,44,,45,",,,
13,,"39,40,41,42,43,44,45",,,
14,,"39,40,41,42,43,44,45",,,
15,,"39,,40,41,42,43,44,45",,,
16,,"39,40,41,42,43,44,45",,,
17,,"39,40,41,42,43,44,45",,,
18,,"39,,40,41,42,43,44,45",,,
19,,"39,,40,41,42,43,44,45",,,
20,,"39,,40,2 ,41,,42,43,44,3 ,45",,,
21,,"39,,40,41,42,43,44,45",,,
22,,"39,,40,41,42,43,44,45",,,
23,,"39,,40,41,42,43,44,45",,,
24,,"39,,40,41,42,43,44,45",,,
25,,"39,40,41,42,43,44,45",,,
26,,"39,,40,,41,,42,43,44,45",,,
27,,"39,,40,1 ,41,1 ,42,43,44,45",,,
28,,"39,,40,41,42,43,44,45",,,
29,,"39,,40,41,42,43,44,45",,,
30,,"39,,40,3 ,41,42,43,44,45",,,
31,,"39,,40,41,42,43,44,45",,,
32,,"39,,40,2 ,41,42,43,44,45",,,
33,,"39,,40,3 ,41,42,43,44,45",,,
34,,"39,,40,2 ,41,2 ,42,43,44,45",,,
35,,"39,,40,41,42,43,44,45",,,
36,,"39,40,41,42,3 ,43,,44,45,",,,
37,,"39,,40,,41,,42,1 ,43,44,45",,,
38,,"39,,40,,41,3 ,42,43,44,45",,,
39,,"39,,40,1 ,41,42,43,44,45",,,
40,,"39,,40,,41,3 ,42,43,44,45",,,
41,,"39,40,41,42,,43,1 ,44,45,4 ",,,
42,,"39,,40,41,42,43,44,45",,,
43,,"39,,40,,41,,42,,43,,44,,45,",,,
44,,"39,40,41,42,43,44,2 ,45,",,,
45,,"39,,40,41,42,43,44,45,1 ",,,
46,,"39,,40,2 ,41,2 ,42,43,44,45",,,
47,,"39,,40,,41,,42,2 ,43,44,3 ,45,",,,
48,,"39,,40,2 ,41,,42,,43,,44,,45,",,,
49,,"39,,40,,41,,42,,43,,44,45,46,,47,",,,
50,,"39,,40,,41,,42,43,44,45",,,
51,,"39,,40,,41,,42,,43,,44,,45,",,,
52,,"39,,40,41,4 ,42,43,,44,,45,",,,
53,,"39,,40,3 ,41,42,2 ,43,,44,,45,",,,
54,,"39,,40,,41,,42,,43,44,45,",,,
55,,"39,1 ,40,41,42,43,44,,45,",,,
56,,"39,,40,,41,42,,43,,44,,45,",,,
57,,"39,,40,41,42,,43,4 ,44,45",,,
58,,"39,,40,,41,,42,,43,44,45",,,
59,,"39,,40,41,42,43,44,45,",,,
60,,"39,,40,,41,,42,1 ,43,44,45",,,
61,,"39,,40,,41,,42,,43,,44,45,",,,
62,,"39,,40,,41,42,43,44,3 ,45,",,,
63,,"39,,40,,41,4 ,42,,43,44,,45",,,
64,,"39,,40,41,3 ,42,,43,4 ,44,45,3 ",,,
65,,"39,,40,,41,,42,,43,44,45,4 ",,,
66,,"39,2 ,40,41,,42,,43,2 ,44,45",,,
67,,"39,,40,4 ,41,1 ,42,,43,,44,,45,",,,
68,,"39,,40,,41,,42,,43,,44,,45,1 ",,,
69,,"39,,40,,41,2 ,42,43,44,45,",,,
70,,"39,,40,41,42,,43,,44,,45,",,,
71,,"39,,40,,41,,42,3 ,43,,44,,45,",,,
72,,"39,,40,2 ,41,,42,,43,,44,,45,",,,
73,,"39,,40,,41,,42,,43,,44,,45,",,,
74,,"39,,40,,41,,42,,43,2 ,44,45,4 ",,,
75,,"39,,40,,41,,42,,43,,44,,45,",,,
76,,"39,,40,,41,,42,,43,,44,,45,",,,
77,,"39,,40,,41,2 ,42,,43,,44,2 ,45,3 ",,,
