,reviews,Size,comfort,quality,star_rating
0,10.0,"8,9,10,11",10.0,10.0,4.4
1,15.0,"10,11,12",10.0,10.0,4.8
2,10.0,11,8.2,8.2,4.4
3,15.0,"9,11,12",8.2,8.2,4.8
4,33.0,"7,8,9,10,11,12",10.0,10.0,4.4
5,82.0,"7,8,9,10,11,12,13",10.0,10.0,4.9
6,14.0,"7,8,9,10,11,12",10.0,10.0,4.6
7,14.0,"8,9,10,11,12",9.2,9.2,0.0
8,195.0,"8,9,10,11,12",9.2,9.2,4.7
9,6.0,"7,8,9,10,12,13,14",9.2,9.2,2.7
10,1.0,"8,9,10,11",9.2,9.2,5.0
11,20.0,"8,9,10",9.2,9.2,5.0
12,20.0,"8,9,10",9.2,9.2,5.0
13,20.0,"8,9",9.2,9.2,5.0
14,133.0,"8,9",7.7,7.7,4.7
15,82.0,"8,10,11",7.7,7.7,4.9
16,133.0,"8,9,10,11",7.5,7.5,4.7
17,10.0,"8,10,11",7.5,7.5,4.8
18,10.0,"8,9,10,11",7.5,7.5,4.8
19,195.0,"8,9,10,11",7.5,7.5,4.7
20,1.0,"8,10,11,12",7.5,7.5,5.0
21,44.0,"9,10",7.5,7.5,4.6
22,3.0,"8,9,10,11",7.5,7.5,5.0
23,3.0,"8,9,10,11",7.5,7.5,5.0
24,2.0,"8,9,10,11",7.5,7.5,4.5
25,37.0,"9,10,11",10.0,10.0,4.7
26,37.0,"8,10",10.0,10.0,4.7
27,496.0,"8,10",10.0,10.0,4.7
28,496.0,"11,13",7.5,7.5,4.7
29,2.0,"7,9,11,12,13",7.5,7.5,4.0
30,381.0,"7,11",7.5,7.5,4.7
31,381.0,"7,11,13,14",7.5,7.5,4.7
32,24.0,"9,10,11,12",7.5,7.5,4.8
33,24.0,"11,12",7.5,7.5,4.8
34,181.0,"11,12",7.5,7.5,4.7
35,30.0,"11,12",7.5,7.5,4.6
36,30.0,"7,8,9,10,11,12",7.7,7.7,4.6
37,181.0,"7,9,10,12",7.7,7.7,4.7
38,30.0,"7,8,9,10,12",8.2,8.2,4.6
39,1245.0,"7,9,10,11",8.2,8.2,4.8
40,14.0,"7,8,9,10,11,12,13,14",10.0,10.0,4.6
41,167.0,"8,10,11,12,13,14",10.0,10.0,4.6
42,167.0,"8,9,10,11",10.0,10.0,4.6
43,3.0,"7,12",10.0,10.0,4.7
44,14.0,"7,8,10,11",10.0,10.0,4.6
45,31.0,"7,9,11",10.0,10.0,4.6
46,14.0,"7,9,10,11,12",7.7,7.7,4.6
